group_family,group_value,n,unconstrained_log_p_norm_mean,power2_observed,power2_censored_rate,power2_log_p_norm_mean,power2_log_p_norm_median,power2_over_unconstrained_median,power2_over_unconstrained_max,power2_seconds_mean,power2_box_tuples_max,power2_elimination_triples_max,power2_coefficient_box_size_max,power3_observed,power3_censored_rate,power3_log_p_norm_mean,power3_log_p_norm_median,power3_over_unconstrained_median,power3_over_unconstrained_max,power3_seconds_mean,power3_box_tuples_max,power3_elimination_triples_max,power3_coefficient_box_size_max
overall,all,108,0.4073065305353834,108,0.0,0.7871252718117655,0.8191069447056065,222.63526603314511,209715.2,0.22935444352333434,472186866,1832676,1389425625,108,0.0,0.7764251753048013,0.8145692966577497,168.23076923076923,43554.861045531194,0.1412795611152736,649555761,1241059,5254365169
p_bits,12,36,0.3637772168556614,36,0.0,0.6895488756555301,0.6985218212734271,18.309067688378033,89.04347826086956,0.010896180549429523,35413,0,81225,36,0.0,0.6726462638958934,0.6969617430552153,11.860714285714286,168.23076923076923,0.006554377785909714,39458,0,89401
p_bits,20,36,0.41647024462095966,36,0.0,0.8258193750308727,0.837903349244534,255.27654108295175,209715.2,0.24261116944641495,38128035,0,67815225,36,0.0,0.7941017848659748,0.811408619649165,166.12788461538463,11809.8,0.023313586121528514,1283833,0,4853925
p_bits,28,36,0.4416721301295292,36,0.0,0.8460075647488937,0.8611964230451175,2476.8216248635717,15183.000904977376,0.43455598057415856,472186866,1832676,1389425625,36,0.0,0.8625274771525353,0.8656913151248735,2622.487665270528,43554.861045531194,0.3939707194383825,649555761,1241059,5254365169
