bits,p,group_order,subgroup_order,subgroup_bits,cofactor,endomorphism_scalar,scalar_order,nonzero_quotient_orbits,orbit_fraction,samples,map_evaluations_per_normalization,mean_elapsed_ns,median_elapsed_ns,ideal_random_mapping_speedup,enumeration_to_ideal_gain_ratio
10,977,932,233,8,4,203,116,2,0.500000000000,16,115,306943.750,291700.000,10.770329614269,10.677481945180
12,4013,3964,991,10,4,45,495,2,0.500000000000,16,494,1135250.000,1071150.000,22.248595461287,22.203648803789
14,16249,16228,4057,12,4,3635,1352,3,0.333333333333,16,1351,3713862.500,3675550.000,36.769552621700,36.742356207039
16,64661,64556,16139,14,4,1546,8069,2,0.500000000000,16,8068,29733506.250,29744500.000,89.827612681180,89.816480246841
18,262007,262648,32831,16,8,25875,16415,2,0.500000000000,16,16414,59093312.500,58486800.000,128.121036524062,128.113231404566
