bits,discriminant,subgroup_order,observed_log_speedup,fitted_log_speedup,residual
12,-4,2053,0.771377626659,0.782577897740,-0.011200271081
14,-4,8101,0.693795254722,0.729713752950,-0.035918498228
16,-4,8237,0.782035879245,0.729072587298,0.052963291947
18,-4,130769,0.616751671785,0.622596194423,-0.005844522638
12,-3,4153,0.919487067858,0.940237682406,-0.020750614547
14,-3,16633,0.901678053603,0.925177717381,-0.023499663777
16,-3,16267,0.979668141191,0.925419211193,0.054248929998
18,-3,262519,0.885234753397,0.895233405070,-0.009998651673
