bits,discriminant,subgroup_order,observed_log_speedup,fitted_log_speedup,residual
12,-4,2053,-1.181505899874,-1.267085872831,0.085579972958
14,-4,8101,-1.995137943420,-1.976170392125,-0.018967551295
16,-4,8237,-2.094273445859,-1.984770562236,-0.109502883623
18,-4,130769,-3.370083699487,-3.412974161447,0.042890461960
12,-3,4153,-1.033620329649,-1.028718579322,-0.004901750328
14,-3,16633,-1.819296626135,-1.726572111352,-0.092724514783
16,-3,16267,-1.616090935255,-1.715381692919,0.099290757664
18,-3,262519,-3.115805836325,-3.114141343772,-0.001664492553
