bits,discriminant,subgroup_order,observed_log_speedup,fitted_log_speedup,residual
12,-4,2053,0.550388562295,0.599438732059,-0.049050169764
14,-4,8101,0.212869156386,0.249881369903,-0.037012213517
16,-4,8237,0.356575138559,0.245641744448,0.110933394112
18,-4,130769,-0.483290727576,-0.458419716745,-0.024871010831
12,-3,4153,0.722847109812,0.811085900358,-0.088238790545
14,-3,16633,0.538991245748,0.524965715625,0.014025530123
16,-3,16267,0.647196438405,0.529553790976,0.117642647429
18,-3,262519,-0.087367527118,-0.043938140111,-0.043429387007
