degree_e1,degree_e2,gap_c,field_p,field_q,status
5,12,80,,,audited_empty
5,12,82,,,audited_empty
5,12,84,,,audited_empty
5,12,86,,,audited_empty
5,12,88,,,audited_empty
5,12,90,,,audited_empty
5,12,92,,,audited_empty
5,12,94,,,audited_empty
5,12,96,,,audited_empty
5,12,98,,,audited_empty
5,12,100,,,audited_empty
5,12,102,,,audited_empty
5,12,104,,,audited_empty
5,12,106,,,audited_empty
8,5,2,,,audited_empty
8,5,4,,,audited_empty
8,5,6,,,audited_empty
8,5,8,,,audited_empty
8,5,10,,,audited_empty
8,5,12,,,audited_empty
8,5,14,,,audited_empty
8,5,16,,,audited_empty
8,5,18,,,audited_empty
8,5,20,,,audited_empty
8,5,22,,,audited_empty
8,5,24,,,audited_empty
8,5,26,,,audited_empty
8,5,28,,,audited_empty
8,5,30,,,audited_empty
8,5,32,,,audited_empty
8,5,34,,,audited_empty
8,5,36,,,audited_empty
8,5,38,,,audited_empty
8,5,40,,,audited_empty
8,5,42,,,audited_empty
8,5,44,,,audited_empty
8,5,46,,,audited_empty
8,5,48,,,audited_empty
8,5,50,,,audited_empty
8,5,52,,,audited_empty
8,5,54,,,audited_empty
8,5,56,,,audited_empty
8,5,58,,,audited_empty
8,5,60,,,audited_empty
8,5,62,,,audited_empty
8,5,64,,,audited_empty
8,5,66,,,audited_empty
8,5,68,,,audited_empty
8,5,70,,,audited_empty
8,5,72,,,audited_empty
8,5,74,,,audited_empty
8,5,76,,,audited_empty
8,5,78,,,audited_empty
8,5,80,,,audited_empty
8,5,82,,,audited_empty
8,5,84,,,audited_empty
8,5,86,,,audited_empty
8,5,88,,,audited_empty
8,5,90,,,audited_empty
8,5,92,,,audited_empty
8,5,94,,,audited_empty
8,5,96,,,audited_empty
8,5,98,,,audited_empty
8,5,100,,,audited_empty
8,5,102,,,audited_empty
8,5,104,,,audited_empty
8,5,106,,,audited_empty
8,8,2,,,audited_empty
8,8,4,,,audited_empty
8,8,6,,,audited_empty
8,8,8,,,audited_empty
8,8,10,,,audited_empty
8,8,12,,,audited_empty
8,8,14,,,audited_empty
8,8,16,,,audited_empty
8,8,18,,,audited_empty
8,8,20,,,audited_empty
8,8,22,,,audited_empty
8,8,24,,,audited_empty
8,8,26,,,audited_empty
8,8,28,,,audited_empty
8,8,30,,,audited_empty
8,8,32,,,audited_empty
8,8,34,,,audited_empty
8,8,36,,,audited_empty
8,8,38,,,audited_empty
8,8,40,,,audited_empty
8,8,42,,,audited_empty
8,8,44,,,audited_empty
8,8,46,,,audited_empty
8,8,48,,,audited_empty
8,8,50,,,audited_empty
8,8,52,,,audited_empty
8,8,54,,,audited_empty
8,8,56,,,audited_empty
8,8,58,,,audited_empty
8,8,60,,,audited_empty
8,8,62,,,audited_empty
8,8,64,,,audited_empty
8,8,66,,,audited_empty
8,8,68,,,audited_empty
8,8,70,,,audited_empty
8,8,72,,,audited_empty
8,8,74,,,audited_empty
8,8,76,,,audited_empty
8,8,78,,,audited_empty
8,8,80,,,audited_empty
8,8,82,,,audited_empty
8,8,84,,,audited_empty
8,8,86,,,audited_empty
8,8,88,,,audited_empty
8,8,90,,,audited_empty
8,8,92,,,audited_empty
8,8,94,,,audited_empty
8,8,96,,,audited_empty
8,8,98,,,audited_empty
8,8,100,,,audited_empty
8,8,102,,,audited_empty
8,8,104,,,audited_empty
8,8,106,,,audited_empty
8,10,2,,,audited_empty
8,10,4,,,audited_empty
8,10,6,,,audited_empty
8,10,8,,,audited_empty
8,10,10,,,audited_empty
8,10,12,,,audited_empty
8,10,14,,,audited_empty
8,10,16,,,audited_empty
8,10,18,,,audited_empty
8,10,20,,,audited_empty
8,10,22,,,audited_empty
8,10,24,,,audited_empty
8,10,26,,,audited_empty
8,10,28,,,audited_empty
8,10,30,,,audited_empty
8,10,32,,,audited_empty
8,10,34,,,audited_empty
8,10,36,,,audited_empty
8,10,38,,,audited_empty
8,10,40,,,audited_empty
8,10,42,,,audited_empty
8,10,44,,,audited_empty
8,10,46,,,audited_empty
8,10,48,,,audited_empty
8,10,50,,,audited_empty
8,10,52,,,audited_empty
