field_prime_e1,field_prime_e2,field_prime_e3,bounded_degree_e1,bounded_degree_e2,bounded_degree_e3,exact_degree_e1,exact_degree_e2,exact_degree_e3,missing_positions,maximum_field_prime
5902471,5904901,5907331,4,6,>12,4,6,1967490,3,5907331
5902471,5907331,5904901,>12,4,6,29835,4,6,1,5907331
7450171,7452901,7455631,4,6,>12,4,6,3725085,3,7455631
7450171,7455631,7452901,>12,4,6,1491126,4,6,1,7455631
7482961,7485697,7488433,4,6,>12,4,6,1247160,3,7488433
7482961,7488433,7485697,>12,4,6,312018,4,6,1,7488433
