field_prime_e1,field_prime_e2,field_prime_e3,trace_e1,trace_e2,trace_e3,cm_discriminant_e1,cm_conductor_e1,cm_discriminant_e2,cm_conductor_e2,cm_discriminant_e3,cm_conductor_e3,embedding_degree_e1,embedding_degree_e2,embedding_degree_e3,target_position_count,rho_max,status,first_rejecting_condition
337,353,367,-15,-13,31,-1123,1,-1243,1,-3,13,11,>18,16,2,1.014652526214,two_of_three,k2_not_in_3_18
383,421,401,-37,21,19,-163,1,-1243,1,-1243,1,15,4,>18,2,1.008120073338,two_of_three,k3_not_in_3_18
401,409,421,-7,-11,21,-1555,1,-1515,1,-1243,1,>18,15,4,2,1.008120073338,two_of_three,k1_not_in_3_18
401,421,431,-19,-9,31,-1243,1,-1603,1,-763,1,6,>18,16,2,1.012036557738,two_of_three,k2_not_in_3_18
409,421,439,-11,-17,31,-1515,1,-155,3,-795,1,15,>18,17,2,1.011770470532,two_of_three,k2_not_in_3_18
409,443,439,-33,5,31,-547,1,-1747,1,-795,1,17,>18,17,2,1.011770470532,two_of_three,k2_not_in_3_18
421,439,457,-17,-17,37,-155,3,-163,3,-51,3,>18,12,14,2,1.013578610429,two_of_three,k1_not_in_3_18
431,439,457,-7,-17,27,-67,5,-163,3,-1099,1,>18,12,10,2,1.009656158433,two_of_three,k1_not_in_3_18
431,449,433,-17,17,3,-1435,1,-1507,1,-1723,1,14,18,>18,2,1.005977059357,two_of_three,k3_not_in_3_18
431,449,457,-17,-7,27,-1435,1,-1747,1,-1099,1,14,>18,10,2,1.009656158433,two_of_three,k2_not_in_3_18
433,467,449,-33,19,17,-643,1,-1507,1,-1507,1,>18,7,18,2,1.006436257183,two_of_three,k1_not_in_3_18
569,601,577,-31,25,9,-1315,1,-1779,1,-2227,1,10,4,>18,2,1.006409826844,two_of_three,k3_not_in_3_18
577,619,601,-41,19,25,-627,1,-235,3,-1779,1,>18,15,4,2,1.006409826844,two_of_three,k1_not_in_3_18
601,631,619,-29,13,19,-1563,1,-2355,1,-235,3,7,>18,15,2,1.004612002862,two_of_three,k2_not_in_3_18
