date,candidate,bits,p,a,b,r,bound,x_values_selected,x_fraction,factor_base_size,factor_base_fraction,size_over_sqrt_p,ordered_triples_per_target,reachable_targets_m3,reachable_target_fraction_m3,mean_canonical_height,max_canonical_height,max_height_convergence_delta,height_iterations,membership_method,membership_polylog_certified,elapsed_s
2026-06-22,rational_height,16,65519,20289,54970,65537,255,65499,0.999694745036,65522,0.999771121656,255.978514992,4292149878.95,not-enumerated-base-too-large,not-enumerated-base-too-large,,,,,explicit ratio-image table; O(p) build,0,0.014208900
2026-06-22,integral_lift_proxy,16,65519,20289,54970,65537,255,0,0,0,0,0,0,0,0,,,,7,unique centered x lift plus integer-square check,1,0.000081400
2026-06-22,rational_height,18,262139,162850,139881,261431,511,262111,0.999893186439,261406,0.999904372473,510.563462886,68326562310.9,not-enumerated-base-too-large,not-enumerated-base-too-large,,,,,explicit ratio-image table; O(p) build,0,0.060610700
2026-06-22,integral_lift_proxy,18,262139,162850,139881,261431,511,0,0,0,0,0,0,0,0,,,,7,unique centered x lift plus integer-square check,1,0.000108400
2026-06-22,rational_height,20,1048571,632451,609922,1046897,1023,1048559,0.999988555854,1046880,0.999983761535,1022.34618747,1.09593993773e+12,not-enumerated-base-too-large,not-enumerated-base-too-large,,,,,explicit ratio-image table; O(p) build,0,0.248937400
2026-06-22,integral_lift_proxy,20,1048571,632451,609922,1046897,1023,1,9.53678863901e-07,2,1.91040761412e-06,0.00195312965663,7.64163045648e-06,4,3.82081522824e-06,4.72407634983,4.72407634983,5.42397938395e-05,7,unique centered x lift plus integer-square check,1,0.119411300
