bits,p,r,a,b,base_kind,base_size,base_instances,targets,mean_decompositions,decomp_ci_low,decomp_ci_high,expected_decompositions,normalized_mean,normalized_ci_low,normalized_ci_high,mean_pair_checks,pair_checks_ci_low,pair_checks_ci_high,success_rate,success_ci_low,success_ci_high,mean_search_ms,mean_pair_table_build_s,ci_method
17,65537,65809,31771,14358,random_matched_subgroup,60,3,288,3.63541667,3.10390625,4.21875,3.28222583537,1.10760711,0.942576823,1.28215837,2260.06944,2082.94913,2438.49974,0.46875,0.411907327,0.526415349,5.86428299,0.00265996667,hierarchical percentile bootstrap (2000); Wilson for success
17,65537,65809,31771,14358,smooth_subgroup,60,1,96,4.04166667,3.03125,5.09375,3.28222583537,1.23137982,0.95527146,1.5455721,2191.09375,1899.65833,2481.82135,0.510416667,0.411960371,0.608071388,5.42926979,0.0032741,hierarchical percentile bootstrap (2000); Wilson for success
