family,seed,p,r,embedding_degree,cofactor,p_bits,r_bits,rho,extnfs_security_bits,pollard_security_bits,pairing_proxy,model,rng_seed
BN,3472,5232948463216993,5232948390888289,12,1,53,53,1.000000000382,45.087167,26.108273,180,bn254-calibrated,20260722
BN,3549,5712798089753119,5712798014180713,12,1,53,53,1.000000000365,45.146747,26.171559,180,bn254-calibrated,20260722
BN,3610,6115776659268061,6115776581075461,12,1,53,53,1.000000000352,45.192978,26.220729,180,bn254-calibrated,20260722
BN,3738,7030332698750173,7030332614914309,12,1,53,53,1.000000000327,45.287337,26.321257,180,bn254-calibrated,20260722
BN,3777,7328336942555623,7328336856961249,12,1,53,53,1.000000000320,45.315404,26.351204,180,bn254-calibrated,20260722
BN,3963,8881951185878923,8881951091646709,12,1,53,53,1.000000000289,45.445146,26.489899,180,bn254-calibrated,20260722
BN,3995,9172302081882571,9172301986122421,12,1,54,54,1.000000000284,45.466813,26.513103,180,bn254-calibrated,20260722
BN,4036,9554649070841113,9554648973105337,12,1,54,54,1.000000000278,45.494304,26.542562,180,bn254-calibrated,20260722
BN,4135,10527120385578211,10527120282988861,12,1,54,54,1.000000000264,45.559477,26.612480,180,bn254-calibrated,20260722
BN,4256,11814382429520833,11814382320839617,12,1,54,54,1.000000000249,45.636914,26.695697,180,bn254-calibrated,20260722
BN,4277,12049278640748623,12049278530992249,12,1,54,54,1.000000000246,45.650114,26.709898,180,bn254-calibrated,20260722
BN,4282,12105718750538653,12105718640525509,12,1,54,54,1.000000000245,45.653247,26.713269,180,bn254-calibrated,20260722
BN,4325,12599327553835951,12599327441602201,12,1,54,54,1.000000000240,45.680030,26.742098,180,bn254-calibrated,20260722
BN,4387,13337426463163483,13337426347688869,12,1,54,54,1.000000000233,45.718151,26.783165,180,bn254-calibrated,20260722
BN,4403,13533056107168123,13533055990849669,12,1,54,54,1.000000000231,45.727896,26.793669,180,bn254-calibrated,20260722
BN,4646,16776941997203173,16776941867691277,12,1,54,54,1.000000000207,45.871429,26.948665,180,bn254-calibrated,20260722
BN,4712,17750712864312433,17750712731094769,12,1,54,54,1.000000000201,45.909035,26.989363,180,bn254-calibrated,20260722
BN,4752,18361139229509473,18361139094020449,12,1,55,55,1.000000000197,45.931556,27.013753,180,bn254-calibrated,20260722
BN,4918,21064197034299973,21064196889179629,12,1,55,55,1.000000000183,46.022907,27.112821,180,bn254-calibrated,20260722
BN,5298,28368233468187373,28368233299774549,12,1,55,55,1.000000000157,46.220239,27.327563,180,bn254-calibrated,20260722
BN,5369,29919684415487959,29919684242530993,12,1,55,55,1.000000000152,46.255436,27.365972,180,bn254-calibrated,20260722
BN,5529,33648631912691479,33648631729272433,12,1,55,55,1.000000000143,46.332973,27.450699,192,bn254-calibrated,20260722
BN,5755,39496560617717131,39496560418996981,12,1,56,56,1.000000000132,46.438524,27.566288,192,bn254-calibrated,20260722
BN,5928,44464001518405873,44464001307558769,12,1,56,56,1.000000000124,46.516387,27.651744,192,bn254-calibrated,20260722
BN,5933,44614198577100223,44614198365897289,12,1,56,56,1.000000000123,46.518602,27.654176,192,bn254-calibrated,20260722
BN,5951,45158060624390803,45158060411904397,12,1,56,56,1.000000000123,46.526557,27.662917,192,bn254-calibrated,20260722
BN,5954,45249185449386829,45249185236686133,12,1,56,56,1.000000000123,46.527880,27.664371,192,bn254-calibrated,20260722
BN,6103,49951340023885123,49951339800405469,12,1,56,56,1.000000000116,46.592733,27.735686,192,bn254-calibrated,20260722
BN,6132,50907516617821753,50907516392213209,12,1,56,56,1.000000000115,46.605159,27.749364,192,bn254-calibrated,20260722
BN,6145,51340574726074471,51340574499508321,12,1,56,56,1.000000000115,46.610710,27.755474,192,bn254-calibrated,20260722
BN,6158,51776389917621973,51776389690096189,12,1,56,56,1.000000000114,46.616248,27.761572,192,bn254-calibrated,20260722
BN,6732,73950896543777353,73950896271858409,12,1,57,57,1.000000000095,46.849126,28.018709,192,bn254-calibrated,20260722
BN,6910,82087596893311861,82087596606823261,12,1,57,57,1.000000000090,46.917078,28.094007,192,bn254-calibrated,20260722
BN,7012,87042642631574233,87042642336565369,12,1,57,57,1.000000000087,46.955185,28.136286,192,bn254-calibrated,20260722
BN,7174,95369285472632869,95369285163835213,12,1,57,57,1.000000000083,47.014515,28.202187,192,bn254-calibrated,20260722
BN,7176,95475676158703153,95475675849733297,12,1,57,57,1.000000000083,47.015238,28.202991,192,bn254-calibrated,20260722
BN,7307,102640407337349803,102640407016996309,12,1,57,57,1.000000000080,47.062170,28.255188,192,bn254-calibrated,20260722
BN,7341,104564089106634943,104564088783293257,12,1,57,57,1.000000000079,47.074205,28.268583,192,bn254-calibrated,20260722
BN,7363,105823150607168923,105823150281886309,12,1,57,57,1.000000000078,47.081961,28.277216,192,bn254-calibrated,20260722
BN,7384,107035556102396689,107035555775255953,12,1,57,57,1.000000000078,47.089341,28.285434,192,bn254-calibrated,20260722
BN,7495,113617962108513571,113617961771463421,12,1,57,57,1.000000000076,47.127986,28.328484,192,bn254-calibrated,20260722
BN,7531,115816586323237483,115816585982941717,12,1,57,57,1.000000000075,47.140389,28.342310,192,bn254-calibrated,20260722
BN,7592,119614685829296113,119614685483465329,12,1,57,57,1.000000000074,47.161262,28.365586,192,bn254-calibrated,20260722
BN,7610,120753074739612061,120753074392139461,12,1,57,57,1.000000000073,47.167388,28.372419,192,bn254-calibrated,20260722
BN,7644,122925513348100009,122925512997515593,12,1,57,57,1.000000000072,47.178916,28.385281,192,bn254-calibrated,20260722
BN,7671,124671460761704323,124671460408638877,12,1,57,57,1.000000000072,47.188032,28.395454,192,bn254-calibrated,20260722
BN,7768,131097761969939473,131097761607888529,12,1,57,57,1.000000000070,47.220505,28.431710,192,bn254-calibrated,20260722
BN,7775,131570931844861651,131570931482157901,12,1,57,57,1.000000000070,47.222831,28.434309,192,bn254-calibrated,20260722
BN,7826,135057084410027053,135057084042549397,12,1,57,57,1.000000000069,47.239716,28.453173,192,bn254-calibrated,20260722
BN,7848,136582109999461873,136582109629915249,12,1,57,57,1.000000000069,47.246964,28.461273,192,bn254-calibrated,20260722
BN,7875,138471341707172251,138471341335078501,12,1,57,57,1.000000000068,47.255829,28.471183,192,bn254-calibrated,20260722
BN,7931,142452167120991883,142452166743587317,12,1,57,57,1.000000000067,47.274115,28.491628,192,bn254-calibrated,20260722
BN,7949,143749758900609919,143749758521490313,12,1,57,57,1.000000000067,47.279963,28.498169,192,bn254-calibrated,20260722
BN,8091,154299664871594443,154299664478808757,12,1,58,58,1.000000000064,47.325613,28.549256,192,bn254-calibrated,20260722
BN,8285,169638714281230111,169638713869382761,12,1,58,58,1.000000000061,47.386626,28.617622,192,bn254-calibrated,20260722
BN,8300,170870541585409801,170870541172069801,12,1,58,58,1.000000000061,47.391280,28.622841,192,bn254-calibrated,20260722
BN,8411,180195801479692363,180195801055222837,12,1,58,58,1.000000000059,47.425447,28.661172,192,bn254-calibrated,20260722
BN,8418,180796400004744973,180796399579568629,12,1,58,58,1.000000000059,47.427585,28.663572,192,bn254-calibrated,20260722
BN,8552,192585707490076273,192585707051256049,12,1,58,58,1.000000000057,47.468165,28.709139,192,bn254-calibrated,20260722
BN,8862,222064169976001333,222064169504791069,12,1,58,58,1.000000000053,47.559515,28.811877,192,bn254-calibrated,20260722
BN,8918,227730433247379973,227730432770195629,12,1,58,58,1.000000000052,47.575656,28.830052,192,bn254-calibrated,20260722
BN,9107,247657529277676603,247657528780051909,12,1,58,58,1.000000000050,47.629347,28.890562,192,bn254-calibrated,20260722
BN,9171,254692778119643323,254692777614999877,12,1,58,58,1.000000000049,47.647261,28.910768,192,bn254-calibrated,20260722
BN,9184,256139932066068289,256139931559993153,12,1,58,58,1.000000000049,47.650884,28.914855,192,bn254-calibrated,20260722
BN,9269,265754657647015759,265754657131529593,12,1,58,58,1.000000000048,47.674437,28.941436,192,bn254-calibrated,20260722
BN,9283,267363850553965723,267363850036921189,12,1,58,58,1.000000000048,47.678294,28.945791,192,bn254-calibrated,20260722
BN,9379,278596047057593179,278596046529799333,12,1,58,58,1.000000000047,47.704580,28.975476,192,bn254-calibrated,20260722
BN,9521,295854634345492423,295854633801595777,12,1,59,59,1.000000000046,47.742942,29.018833,192,bn254-calibrated,20260722
BN,9566,301487567319482293,301487566770432157,12,1,59,59,1.000000000045,47.754973,29.032438,192,bn254-calibrated,20260722
BN,9577,302876654048554423,302876653498240849,12,1,59,59,1.000000000045,47.757905,29.035754,192,bn254-calibrated,20260722
BN,9590,304524484308095941,304524483756287341,12,1,59,59,1.000000000045,47.761365,29.039668,192,bn254-calibrated,20260722
BN,9591,304651518376013443,304651517824089757,12,1,59,59,1.000000000045,47.761631,29.039969,192,bn254-calibrated,20260722
BN,9653,312605573544620623,312605572985538169,12,1,59,59,1.000000000044,47.778064,29.058561,192,bn254-calibrated,20260722
BN,9702,319001221543715173,319001220978942349,12,1,59,59,1.000000000044,47.790972,29.073170,192,bn254-calibrated,20260722
