mapping,p,u,exceptional,sample,batch,seed,nanoseconds_per_call
simple_swu,11,5,0,5,100,5402,2872.0
simple_swu,11,3,1,5,100,5402,3116.0
elligator2,11,5,0,5,100,5402,1947.0
simple_swu,11,4,0,5,100,5402,2329.0
elligator2,11,6,0,5,100,5402,2869.0
simple_swu,11,1,0,5,100,5402,3884.0
elligator2,11,3,0,5,100,5402,2346.0
simple_swu,11,9,0,5,100,5402,2387.0
elligator2,11,10,0,5,100,5402,1902.0
simple_swu,11,10,0,5,100,5402,2329.0
elligator2,11,9,0,5,100,5402,1878.0
elligator2,11,4,1,5,100,5402,1918.0
elligator2,11,1,0,5,100,5402,1888.0
simple_swu,11,7,0,5,100,5402,2337.0
elligator2,11,7,1,5,100,5402,1982.0
simple_swu,11,9,0,6,100,5402,2361.0
simple_swu,11,7,0,6,100,5402,2337.0
simple_swu,11,6,0,6,100,5402,2324.0
simple_swu,11,5,0,6,100,5402,2331.0
elligator2,11,7,1,6,100,5402,2115.0
elligator2,11,0,0,6,100,5402,1932.0
elligator2,11,8,0,6,100,5402,1905.0
elligator2,11,4,1,6,100,5402,1954.0
simple_swu,11,4,0,6,100,5402,2337.0
simple_swu,11,10,0,6,100,5402,2317.0
elligator2,11,6,0,6,100,5402,1890.0
elligator2,11,9,0,6,100,5402,1868.0
elligator2,11,2,0,6,100,5402,1875.0
elligator2,11,3,0,6,100,5402,1880.0
elligator2,11,5,0,6,100,5402,1899.0
simple_swu,11,8,1,6,100,5402,2316.0
simple_swu,11,0,1,6,100,5402,2308.0
simple_swu,11,2,0,6,100,5402,2955.0
elligator2,11,1,0,6,100,5402,2209.0
simple_swu,11,1,0,6,100,5402,2399.0
elligator2,11,10,0,6,100,5402,1934.0
simple_swu,11,3,1,6,100,5402,2383.0
simple_swu,11,7,0,7,100,5402,2311.0
elligator2,11,1,0,7,100,5402,1895.0
simple_swu,11,10,0,7,100,5402,2360.0
simple_swu,11,0,1,7,100,5402,2306.0
elligator2,11,8,0,7,100,5402,1911.0
elligator2,11,5,0,7,100,5402,1934.0
simple_swu,11,1,0,7,100,5402,2323.0
elligator2,11,2,0,7,100,5402,1898.0
elligator2,11,3,0,7,100,5402,1940.0
simple_swu,11,6,0,7,100,5402,2363.0
elligator2,11,9,0,7,100,5402,1888.0
elligator2,11,10,0,7,100,5402,1880.0
elligator2,11,7,1,7,100,5402,2268.0
simple_swu,11,2,0,7,100,5402,2376.0
simple_swu,11,4,0,7,100,5402,2478.0
elligator2,11,4,1,7,100,5402,2804.0
simple_swu,11,9,0,7,100,5402,2368.0
elligator2,11,0,0,7,100,5402,2029.0
simple_swu,11,8,1,7,100,5402,2676.0
elligator2,11,6,0,7,100,5402,2003.0
simple_swu,11,5,0,7,100,5402,2363.0
simple_swu,11,3,1,7,100,5402,2299.0
elligator2,11,10,0,8,100,5402,1924.0
elligator2,11,9,0,8,100,5402,1883.0
elligator2,11,5,0,8,100,5402,1907.0
simple_swu,11,7,0,8,100,5402,2327.0
simple_swu,11,3,1,8,100,5402,2249.0
elligator2,11,1,0,8,100,5402,1932.0
simple_swu,11,9,0,8,100,5402,2364.0
elligator2,11,2,0,8,100,5402,1977.0
simple_swu,11,5,0,8,100,5402,2401.0
elligator2,11,7,1,8,100,5402,2002.0
elligator2,11,3,0,8,100,5402,1898.0
simple_swu,11,10,0,8,100,5402,2559.0
elligator2,11,4,1,8,100,5402,2431.0
elligator2,11,0,0,8,100,5402,2010.0
simple_swu,11,0,1,8,100,5402,2692.0
elligator2,11,6,0,8,100,5402,2407.0
simple_swu,11,4,0,8,100,5402,2795.0
simple_swu,11,2,0,8,100,5402,2322.0
simple_swu,11,8,1,8,100,5402,2284.0
elligator2,11,8,0,8,100,5402,1913.0
simple_swu,11,1,0,8,100,5402,2324.0
simple_swu,11,6,0,8,100,5402,2318.0
elligator2,11,4,1,9,100,5402,1937.0
elligator2,11,0,0,9,100,5402,1969.0
elligator2,11,6,0,9,100,5402,1903.0
elligator2,11,2,0,9,100,5402,1867.0
simple_swu,11,2,0,9,100,5402,2506.0
elligator2,11,1,0,9,100,5402,1892.0
simple_swu,11,3,1,9,100,5402,2313.0
simple_swu,11,6,0,9,100,5402,2320.0
simple_swu,11,7,0,9,100,5402,2312.0
simple_swu,11,8,1,9,100,5402,2303.0
simple_swu,11,10,0,9,100,5402,2344.0
elligator2,11,5,0,9,100,5402,2160.0
elligator2,11,3,0,9,100,5402,2795.0
elligator2,11,7,1,9,100,5402,1941.0
elligator2,11,9,0,9,100,5402,1890.0
elligator2,11,10,0,9,100,5402,1879.0
simple_swu,11,9,0,9,100,5402,2331.0
simple_swu,11,1,0,9,100,5402,2331.0
simple_swu,11,4,0,9,100,5402,2328.0
simple_swu,11,0,1,9,100,5402,2328.0
simple_swu,11,5,0,9,100,5402,2301.0
elligator2,11,8,0,9,100,5402,1920.0
elligator2,11,2,0,10,100,5402,1950.0
elligator2,11,7,1,10,100,5402,1899.0
simple_swu,11,6,0,10,100,5402,2310.0
elligator2,11,0,0,10,100,5402,1918.0
simple_swu,11,5,0,10,100,5402,2314.0
elligator2,11,9,0,10,100,5402,2392.0
elligator2,11,5,0,10,100,5402,2568.0
simple_swu,11,7,0,10,100,5402,2665.0
