p,group_order,subgroup_order,trace,frobenius_discriminant,frobenius_conductor_in_Zi,frobenius_order_class_number,endomorphism_order_discriminant,endomorphism_order_class_number,sqrt_minus_one_mod_p,cm_eigenvalue_mod_r,nonzero_points_checked,distinct_cm_eigenvalues,distinct_annihilator_labels,distinct_kernel_labels,distinct_velu_quotients,velu_quotient_a,velu_quotient_b,ray_mod_r_order,ray_mod_r_divisible_by_r,ray_mod_r2_order,ray_mod_r2_r_valuation,principal_unit_logs_checked,level_r2_lifts_in_principal_orbit,source_points_in_principal_orbit,nonzero_source_points_in_full_unit_orbit,ring_class_bound,bound_excludes_r_when_r_ge_q_over_2
13,20,5,-6,-16,2,1,-4,1,5,3,4,1,1,1,1,1,0,4,False,100,2,5,5,1,4,243.88693,False
53,68,17,-14,-16,2,1,-4,1,23,13,16,1,1,1,1,1,0,64,False,18496,2,17,17,1,16,752.47483,False
61,52,13,10,-144,6,4,-4,1,11,5,12,1,1,1,1,1,0,36,False,6084,2,13,13,1,12,838.418412,False
109,116,29,-6,-400,10,4,-4,1,33,12,28,1,1,1,1,1,0,196,False,164836,2,29,29,1,28,1301.019649,False
149,164,41,-14,-400,10,4,-4,1,44,32,40,1,1,1,1,1,0,400,False,672400,2,41,41,1,40,1641.131376,False
269,244,61,26,-400,10,4,-4,1,82,50,60,1,1,1,1,1,0,900,False,3348900,2,61,61,1,60,2526.547489,False
373,388,97,-14,-1296,18,12,-4,1,104,22,96,1,1,1,1,1,0,2304,False,21678336,2,97,97,1,96,3195.631336,False
421,452,113,-30,-784,14,8,-4,1,29,15,112,1,1,1,1,1,0,3136,False,40043584,2,113,113,1,112,3483.910505,False
