analysis_family,k,bits,p,n,mean_max_height,median_max_height,q25_max_height,q75_max_height,min_max_height,max_max_height,rank_status,known_rank
fixed_rank1_37a1,2,13,8191,1,0.20440546646098617,0.20440546646098617,0.20440546646098617,0.20440546646098617,0.20440546646098617,0.20440546646098617,LMFDB 37.a1 rank 1,1
fixed_rank1_37a1,2,15,32719,1,0.20440546646098617,0.20440546646098617,0.20440546646098617,0.20440546646098617,0.20440546646098617,0.20440546646098617,LMFDB 37.a1 rank 1,1
fixed_rank1_37a1,3,5,31,1,0.4599204957542425,0.4599204957542425,0.4599204957542425,0.4599204957542425,0.4599204957542425,0.4599204957542425,LMFDB 37.a1 rank 1,1
fixed_rank1_37a1,3,7,127,1,0.4599204957542425,0.4599204957542425,0.4599204957542425,0.4599204957542425,0.4599204957542425,0.4599204957542425,LMFDB 37.a1 rank 1,1
fixed_rank1_37a1,3,9,503,1,0.4599204957542425,0.4599204957542425,0.4599204957542425,0.4599204957542425,0.4599204957542425,0.4599204957542425,LMFDB 37.a1 rank 1,1
fixed_rank1_37a1,3,11,2039,1,0.4599204957542425,0.4599204957542425,0.4599204957542425,0.4599204957542425,0.4599204957542425,0.4599204957542425,LMFDB 37.a1 rank 1,1
fixed_rank1_37a1,3,13,8191,1,0.4599204957542425,0.4599204957542425,0.4599204957542425,0.4599204957542425,0.4599204957542425,0.4599204957542425,LMFDB 37.a1 rank 1,1
fixed_rank1_37a1,3,15,32719,1,0.4599204957542425,0.4599204957542425,0.4599204957542425,0.4599204957542425,0.4599204957542425,0.4599204957542425,LMFDB 37.a1 rank 1,1
fixed_rank1_37a1,4,5,31,1,0.8176547198523896,0.8176547198523896,0.8176547198523896,0.8176547198523896,0.8176547198523896,0.8176547198523896,LMFDB 37.a1 rank 1,1
fixed_rank1_37a1,4,7,127,1,0.8176547198523896,0.8176547198523896,0.8176547198523896,0.8176547198523896,0.8176547198523896,0.8176547198523896,LMFDB 37.a1 rank 1,1
fixed_rank1_37a1,4,9,503,1,0.8176547198523896,0.8176547198523896,0.8176547198523896,0.8176547198523896,0.8176547198523896,0.8176547198523896,LMFDB 37.a1 rank 1,1
fixed_rank1_37a1,4,11,2039,1,0.8176547198523896,0.8176547198523896,0.8176547198523896,0.8176547198523896,0.8176547198523896,0.8176547198523896,LMFDB 37.a1 rank 1,1
fixed_rank1_37a1,4,13,8191,1,0.8176547198523896,0.8176547198523896,0.8176547198523896,0.8176547198523896,0.8176547198523896,0.8176547198523896,LMFDB 37.a1 rank 1,1
fixed_rank1_37a1,4,15,32719,1,0.8176547198523896,0.8176547198523896,0.8176547198523896,0.8176547198523896,0.8176547198523896,0.8176547198523896,LMFDB 37.a1 rank 1,1
random_general_best_sampled,1,5,31,3,5.79667137024238,6.376011584967581,3.1880057924837906,8.69500705536357,0.0,11.014002525759558,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,1,7,127,3,14.544035845603839,13.776972254440125,13.606243302382776,15.098296593243047,13.435514350325427,16.41962093204597,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,1,9,503,3,17.71114069243347,16.84885359682803,15.182719908302241,19.808417928761983,13.516586219776453,22.767982260695934,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,1,11,2039,3,27.1787202929636,27.106347943249034,25.91822434406364,28.403030067006277,24.730100744878243,29.699712190763517,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,1,13,8191,3,31.02866726586247,32.80066962846642,28.74603095231586,34.197304760711056,24.691392276165296,35.59393989295569,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,1,15,32719,3,38.25827227116246,37.62744131278985,36.82046073676106,39.380668326377545,36.013480160732286,41.13389533996524,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,2,5,31,3,15.228788875371635,15.251632175493855,14.22592344455467,16.243075956249708,13.200214713615486,17.234519737005563,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,2,7,127,3,24.845514043405107,23.467273929984593,23.176606247986516,25.825301782113442,22.88593856598844,28.18332963424229,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,2,9,503,3,31.183937404373054,31.021351614446278,30.737591459192878,31.54899045458984,30.45383130393948,32.0766292947334,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,2,11,2039,3,46.62359224305923,45.12221843487616,44.46530453638356,48.03119304564336,43.808390637890966,50.94016765641057,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,2,13,8191,3,54.44645889438849,57.45139576859463,52.664895217385194,57.73049100849486,47.878394666175765,58.00958624839509,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,2,15,32719,3,62.39751526698911,58.27773900131468,57.37960745120738,65.35553494993363,56.481475901100076,72.43333089855258,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,3,5,31,3,15.732577502688413,16.558596714078817,15.2639040529974,16.614260558074626,13.969211391915982,16.669924402070436,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,3,7,127,3,31.64710893736161,30.637018747004355,30.13124598492438,32.65792679462022,29.625473222844406,34.67883484223608,total rank unavailable; lifted-point span rank unmeasured,
