bits,prime_index,prime,prime_mod_12,smoothness_exponent,order_bound,discriminant_exponent,discriminant_bound,explicit_order_count,explicit_success,explicit_smooth_count,explicit_best_order,explicit_best_lpf,explicit_first_smooth_order,bounded_cm_success,cm_discriminant,cm_class_number,cm_conductor,cm_trace,cm_order,cm_lpf,measurement_ms
32,45,4294966129,1,3,32768,2,1024,10,1,1,4294891776,25771,4294891776,1,-3,1,62320,74354,4294891776,25771,1.4547000173479319
32,46,4294966121,5,3,32768,2,1024,5,1,1,4295077202,1597,4295077202,1,-4,1,34789,-111080,4295077202,1597,0.740799936465919
32,47,4294966099,7,3,32768,2,1024,7,1,1,4294966100,829,4294966100,1,-15,2,16862,113644,4294852456,691,1.196300028823316
32,48,4294966087,7,3,32768,2,1024,7,1,3,4294837729,1753,4294837729,1,-3,1,56521,87155,4294878933,16963,0.7150999736040831
32,49,4294966073,5,3,32768,2,1024,5,1,2,4295050448,4457,4294966074,1,-4,1,50152,-84374,4295050448,4457,0.4217000678181648
32,50,4294966043,11,3,32768,2,1024,1,0,0,4294966044,357913837,,1,-11,1,33469,-69699,4295035743,9419,0.8769000414758921
32,51,4294966007,11,3,32768,2,1024,1,0,0,4294966008,178956917,,1,-19,1,10441,122917,4294843091,9923,0.46559993643313646
32,52,4294966001,5,3,32768,2,1024,5,0,0,4295016100,704101,,1,-7,1,49232,-14606,4294980608,9059,0.999600044451654
32,53,4294965977,5,3,32768,2,1024,5,1,1,4294948880,11981,4294948880,1,-4,1,64976,17098,4294948880,11981,0.8440000237897038
32,54,4294965971,11,3,32768,2,1024,1,1,1,4294965972,13597,4294965972,1,-7,1,41290,-72428,4295038400,919,0.2370000584051013
32,55,4294965967,7,3,32768,2,1024,7,1,2,4294965968,2591,4294965968,1,-3,1,68534,-55580,4295021548,11353,1.1723999632522464
32,56,4294965949,1,3,32768,2,1024,10,1,5,4295008170,509,4294841864,1,-3,1,70252,48722,4294917228,4591,1.2669999850913882
32,57,4294965937,1,3,32768,2,1024,10,0,0,4294919689,35911,,1,-24,2,19524,89618,4294876320,1877,2.202300005592406
32,58,4294965911,11,3,32768,2,1024,1,0,0,4294965912,87767,,1,-11,1,5930,-129588,4295095500,32173,0.255199964158237
32,59,4294965887,11,3,32768,2,1024,1,1,1,4294965888,2179,4294965888,1,-7,1,43594,-62264,4295028152,2591,0.11070002801716328
