bits,prime_index,prime,prime_mod_12,smoothness_exponent,order_bound,discriminant_exponent,discriminant_bound,explicit_order_count,explicit_success,explicit_smooth_count,explicit_best_order,explicit_best_lpf,explicit_first_smooth_order,bounded_cm_success,cm_discriminant,cm_class_number,cm_conductor,cm_trace,cm_order,cm_lpf,measurement_ms
12,23,3917,5,3,1701,3,1728,5,1,4,3796,73,3796,1,-4,1,61,28,3890,389,0.034499913454055786
12,24,3911,11,2,143,3,1728,1,0,0,3912,163,,1,-31,3,10,112,3800,19,0.04740001168102026
12,24,3911,11,3,1700,3,1728,1,1,1,3912,163,3912,1,-19,1,1,-125,4037,367,0.04740001168102026
12,25,3907,7,2,143,3,1728,7,1,4,3969,7,3783,1,-3,1,1,-125,4033,109,0.043899985030293465
12,25,3907,7,3,1699,3,1728,7,1,6,3969,7,3783,1,-3,1,1,-125,4033,109,0.043899985030293465
12,26,3889,1,2,143,3,1728,10,1,6,3888,3,3770,1,-3,1,72,2,3888,3,0.06719992961734533
12,26,3889,1,3,1696,3,1728,10,1,10,3888,3,3770,1,-3,1,72,2,3888,3,0.06719992961734533
12,27,3881,5,2,143,3,1728,5,1,3,4000,5,3842,1,-4,1,59,40,3842,113,0.03550003748387098
12,27,3881,5,3,1695,3,1728,5,1,5,4000,5,3764,1,-4,1,59,40,3842,113,0.03550003748387098
12,28,3877,1,2,143,3,1728,10,1,7,3757,17,3757,1,-3,1,17,121,3757,17,0.05370005965232849
12,28,3877,1,3,1694,3,1728,10,1,9,3757,17,3757,1,-3,1,17,121,3757,17,0.05370005965232849
12,29,3863,11,2,142,3,1728,1,1,1,3864,23,3864,1,-19,1,2,124,3740,17,0.032199895940721035
12,29,3863,11,3,1692,3,1728,1,1,1,3864,23,3864,1,-19,1,2,-124,3988,997,0.032199895940721035
12,30,3853,1,2,142,3,1728,10,1,5,3969,7,3848,1,-3,1,27,-115,3969,7,0.05570007488131523
12,30,3853,1,3,1691,3,1728,10,1,9,3969,7,3730,1,-3,1,27,-115,3969,7,0.05570007488131523
12,31,3851,11,2,142,3,1728,1,1,1,3852,107,3852,1,-7,1,2,-124,3976,71,0.021600048057734966
12,31,3851,11,3,1690,3,1728,1,1,1,3852,107,3852,1,-7,1,2,-124,3976,71,0.021600048057734966
12,32,3847,7,2,142,3,1728,7,1,4,3724,19,3724,1,-3,1,61,65,3783,97,0.040199956856667995
12,32,3847,7,3,1690,3,1728,7,1,6,3724,19,3724,1,-3,1,61,65,3783,97,0.040199956856667995
16,1,65521,1,2,256,3,4096,10,1,3,65856,7,65700,1,-3,1,224,-334,65856,7,0.15739991795271635
16,1,65521,1,3,4096,3,4096,10,1,8,65856,7,65042,1,-3,1,279,-169,65691,811,0.15739991795271635
16,2,65519,11,2,256,3,4096,1,1,1,65520,13,65520,1,-19,1,95,301,65219,11,0.05640008021146059
16,2,65519,11,3,4096,3,4096,1,1,1,65520,13,65520,1,-19,1,95,301,65219,11,0.05640008021146059
16,3,65497,1,2,256,3,4096,10,1,3,65268,37,65026,1,-3,1,264,-230,65728,79,0.07960002403706312
16,3,65497,1,3,4096,3,4096,10,1,6,65268,37,65026,1,-3,1,264,-230,65728,79,0.07960002403706312
16,4,65479,7,2,256,3,4096,7,1,1,65052,139,65052,1,-3,1,162,428,65052,139,0.06809993647038937
16,4,65479,7,3,4096,3,4096,7,1,5,65052,139,65023,1,-3,1,295,-29,65509,601,0.06809993647038937
16,5,65449,1,2,256,3,4096,10,1,3,65610,5,64964,1,-3,1,248,-278,65728,79,0.08240004535764456
16,5,65449,1,3,4095,3,4096,10,1,6,65610,5,64964,1,-3,1,248,-278,65728,79,0.08240004535764456
16,6,65447,11,2,256,3,4096,1,1,1,65448,101,65448,1,-19,1,14,508,64940,191,0.08949998300522566
16,6,65447,11,3,4095,3,4096,1,1,1,65448,101,65448,1,-7,1,178,200,65248,2039,0.08949998300522566
16,7,65437,1,2,256,3,4096,10,1,3,64980,19,64980,1,-3,1,287,121,65317,43,0.11989998165518045
16,7,65437,1,3,4095,3,4096,10,1,4,64980,19,64980,1,-3,1,204,-370,65808,457,0.11989998165518045
16,8,65423,11,2,256,3,4096,1,1,1,65424,47,65424,1,-7,1,58,-488,65912,107,0.06520003080368042
16,8,65423,11,3,4095,3,4096,1,1,1,65424,47,65424,1,-7,1,58,-488,65912,107,0.06520003080368042
16,9,65419,7,2,256,3,4096,7,1,4,65268,37,65073,1,-3,1,65,-499,65919,73,0.07729989010840654
16,9,65419,7,3,4095,3,4096,7,1,5,65268,37,65073,1,-3,1,65,-499,65919,73,0.07729989010840654
16,10,65413,1,2,256,3,4096,10,1,6,65596,31,64970,1,-3,1,47,-505,65919,73,0.0909001100808382
16,10,65413,1,3,4094,3,4096,10,1,7,65596,31,64970,1,-3,1,47,-505,65919,73,0.0909001100808382
16,11,65407,7,2,256,3,4096,7,1,3,65408,73,64897,1,-3,1,13,-511,65919,73,0.2516999375075102
16,11,65407,7,3,4094,3,4096,7,1,4,65408,73,64897,1,-3,1,249,-275,65683,3457,0.2516999375075102
16,12,65393,5,2,256,3,4096,5,1,2,64970,89,64970,1,-4,1,143,424,64970,89,0.09959994349628687
16,12,65393,5,3,4094,3,4096,5,1,4,64970,89,64970,1,-4,1,143,424,64970,89,0.09959994349628687
16,13,65381,5,2,256,3,4096,5,1,1,65000,13,65000,1,-4,1,170,382,65000,13,0.05949998740106821
16,13,65381,5,3,4094,3,4096,5,1,5,65000,13,65000,1,-4,1,191,-340,65722,1933,0.05949998740106821
16,14,65371,7,2,256,3,4096,7,1,2,65100,31,65100,1,-3,1,261,-239,65611,103,0.08540006820112467
16,14,65371,7,3,4094,3,4096,7,1,4,65100,31,64861,1,-3,1,261,-239,65611,103,0.08540006820112467
16,15,65357,5,2,256,3,4096,5,1,1,65416,37,65416,1,-4,1,254,-58,65416,37,0.063000014051795
16,15,65357,5,3,4093,3,4096,5,1,4,65416,37,64850,1,-4,1,29,508,64850,1297,0.063000014051795
16,16,65353,1,2,256,3,4096,10,1,4,65856,7,65268,1,-3,1,56,-502,65856,7,0.15219999477267265
16,16,65353,1,3,4093,3,4096,10,1,7,65856,7,64850,1,-3,1,56,-502,65856,7,0.15219999477267265
16,17,65327,11,2,256,3,4096,1,0,0,65328,1361,,1,-11,1,62,468,64860,47,0.061700004152953625
16,17,65327,11,3,4093,3,4096,1,1,1,65328,1361,65328,1,-11,1,62,468,64860,47,0.061700004152953625
16,18,65323,7,2,256,3,4096,7,1,2,64827,7,64827,1,-3,1,69,497,64827,7,0.09240000508725643
16,18,65323,7,3,4093,3,4096,7,1,5,64827,7,64827,1,-3,1,69,497,64827,7,0.09240000508725643
16,19,65309,5,2,256,3,4096,5,1,1,65416,37,65416,1,-4,1,250,-106,65416,37,0.06720004603266716
16,19,65309,5,3,4093,3,4096,5,1,2,65416,37,65310,1,-4,1,250,-106,65416,37,0.06720004603266716
16,20,65293,1,2,256,3,4096,10,1,1,65191,139,65191,1,-3,1,289,103,65191,139,0.1039999770000577
16,20,65293,1,3,4092,3,4096,10,1,7,65191,139,64809,1,-3,1,289,103,65191,139,0.1039999770000577
16,21,65287,7,2,256,3,4096,7,1,1,65037,163,65037,1,-3,1,257,251,65037,163,0.08759996853768826
16,21,65287,7,3,4092,3,4096,7,1,4,65037,163,64777,1,-3,1,257,251,65037,163,0.08759996853768826
16,22,65269,1,2,256,3,4096,10,1,3,64827,7,64827,1,-3,1,148,-442,65712,37,0.11689995881170034
16,22,65269,1,3,4092,3,4096,10,1,6,64827,7,64827,1,-3,1,148,442,64828,853,0.11689995881170034
16,23,65267,11,2,256,3,4096,1,1,1,65268,37,65268,1,-8,1,11,510,64758,251,0.03270001616328955
16,23,65267,11,3,4092,3,4096,1,1,1,65268,37,65268,1,-8,1,11,-510,65778,577,0.03270001616328955
16,24,65257,1,2,256,3,4096,10,1,5,65317,43,64848,1,-3,1,176,410,64848,193,0.14949997421354055
16,24,65257,1,3,4092,3,4096,10,1,9,65317,43,64789,1,-3,1,176,410,64848,193,0.14949997421354055
16,25,65239,7,2,256,3,4096,7,1,2,65532,127,65240,1,-3,1,242,-292,65532,127,0.07199996616691351
16,25,65239,7,3,4091,3,4096,7,1,6,65532,127,64948,1,-3,1,267,217,65023,1327,0.07199996616691351
16,26,65213,5,2,256,3,4096,5,1,1,65650,101,65650,1,-4,1,133,-436,65650,101,0.10169995948672295
16,26,65213,5,3,4091,3,4096,5,1,5,65650,101,64778,1,-4,1,133,436,64778,661,0.10169995948672295
16,27,65203,7,2,256,3,4096,7,1,3,65379,37,64701,1,-3,1,51,503,64701,79,0.1550000160932541
16,27,65203,7,3,4091,3,4096,7,1,4,65379,37,64701,1,-3,1,51,503,64701,79,0.1550000160932541
16,28,65183,11,2,256,3,4096,1,1,1,65184,97,65184,1,-23,3,106,48,65136,59,0.06150000263005495
16,28,65183,11,3,4091,3,4096,1,1,1,65184,97,65184,1,-23,3,106,48,65136,59,0.06150000263005495
16,29,65179,7,2,256,3,4096,7,1,4,64827,7,64684,1,-3,1,213,353,64827,7,0.08539995178580284
16,29,65179,7,3,4090,3,4096,7,1,6,64827,7,64684,1,-3,1,213,353,64827,7,0.08539995178580284
16,30,65173,1,2,256,3,4096,10,1,2,64701,79,64701,1,-3,1,111,473,64701,79,0.11619995348155499
