bits,prime_index,prime,prime_mod_12,smoothness_exponent,order_bound,discriminant_exponent,discriminant_bound,explicit_order_count,explicit_success,explicit_smooth_count,explicit_best_order,explicit_best_lpf,explicit_first_smooth_order,bounded_cm_success,cm_discriminant,cm_class_number,cm_conductor,cm_trace,cm_order,cm_lpf,measurement_ms
40,44,1099511626099,7,2,1600,4,2560000,7,0,0,1099511626100,13007,,1,-2503,21,41782,168732,1099511457368,1429,39.70689990092069
40,45,1099511626079,11,2,1600,4,2560000,1,0,0,1099511626080,327235603,,1,-10151,93,8054,1933800,1099509692280,509,81.50309999473393
40,46,1099511626063,7,2,1600,4,2560000,7,0,0,1099512773892,397057,,1,-87,6,222714,287600,1099511338464,1483,4.384499974548817
40,47,1099511626051,7,2,1600,4,2560000,7,0,0,1099513545373,79813,,1,-872,10,70065,-342502,1099511968554,1583,16.708699986338615
40,48,1099511626049,5,2,1600,4,2560000,5,0,0,1099511626050,15377,,1,-10436,84,20440,-194814,1099511820864,739,157.35910006333143
40,49,1099511626043,11,2,1600,4,2560000,1,0,0,1099511626044,7048151449,,1,-19016,76,8479,1740954,1099509885090,1279,142.9451999720186
40,50,1099511626019,11,2,1600,4,2560000,1,0,0,1099511626020,30902519,,1,-2623,22,35390,1054924,1099510571096,1201,39.27890001796186
40,51,1099511626013,5,2,1600,4,2560000,5,0,0,1099512068980,21601,,1,-1811,23,38209,-1324431,1099512950445,353,24.46689992211759
40,52,1099511625991,7,2,1600,4,2560000,7,0,0,1099513188325,62143,,1,-231,12,8670,-2093008,1099513719000,383,9.749199962243438
40,53,1099511625983,11,2,1600,4,2560000,1,1,1,1099511625984,1039,1099511625984,1,-67,1,255997,85073,1099511540911,1097,2.265300019644201
40,54,1099511625943,7,2,1600,4,2560000,7,0,0,1099511041357,182503,,1,-111,8,198326,-179056,1099511805000,1319,5.3603999549523
40,55,1099511625931,7,2,1600,4,2560000,7,0,0,1099511458689,1861,,1,-1095,28,55486,-1013348,1099512639280,1151,20.969699951820076
40,56,1099511625881,5,2,1600,4,2560000,5,0,0,1099511984962,696517,,1,-2852,24,37252,663546,1099510962336,479,51.69600003864616
40,57,1099511625869,5,2,1600,4,2560000,5,0,0,1099513622120,8329,,1,-14180,72,15166,1066086,1099510559784,1423,157.9414999578148
40,58,1099511625767,11,2,1600,4,2560000,1,0,0,1099511625768,2137697,,1,-12731,56,18583,-40953,1099511666721,1427,93.63509994000196
40,59,1099511625733,1,2,1600,4,2560000,10,0,0,1099509621379,23917,,1,-5163,10,20031,1525267,1099510100467,1399,75.26419998612255
40,60,1099511625731,11,2,1600,4,2560000,1,0,0,1099511625732,13476389,,1,-151,7,162890,625732,1099511000000,1181,4.2549999197945
40,61,1099511625683,11,2,1600,4,2560000,1,0,0,1099511625684,112261,,1,-10003,12,5038,2035720,1099509589964,1291,94.4189999718219
40,62,1099511625679,7,2,1600,4,2560000,7,0,0,1099510003452,9547,,1,-627,4,82451,368233,1099511257447,409,15.909999958239496
40,63,1099511625677,5,2,1600,4,2560000,5,0,0,1099510303930,1060597,,1,-1111,22,62612,-206482,1099511832160,1361,18.09670007787645
40,64,1099511625671,11,2,1600,4,2560000,1,0,0,1099511625672,695749,,1,-18335,100,10534,1537368,1099510088304,883,159.1406000079587
40,65,1099511625629,5,2,1600,4,2560000,5,0,0,1099513160050,21313,,1,-2503,21,41300,-358754,1099511984384,1583,45.1268000761047
40,66,1099511625593,5,2,1600,4,2560000,5,0,0,1099509816610,152729,,1,-12623,92,18616,-153222,1099511778816,677,155.6600999319926
40,67,1099511625587,11,2,1600,4,2560000,1,0,0,1099511625588,91625968799,,1,-427,2,23782,2038760,1099509586828,1151,7.451899931766093
40,68,1099511625523,7,2,1600,4,2560000,7,0,0,1099510885236,850033,,1,-4616,56,18411,1683266,1099509942258,643,51.769700017757714
40,69,1099511625493,1,2,1600,4,2560000,10,0,0,1099509740228,100129,,1,-2359,28,28708,1566486,1099510059008,421,35.03110003657639
