bits,prime_index,prime,prime_mod_12,smoothness_exponent,order_bound,discriminant_exponent,discriminant_bound,explicit_order_count,explicit_success,explicit_smooth_count,explicit_best_order,explicit_best_lpf,explicit_first_smooth_order,bounded_cm_success,cm_discriminant,cm_class_number,cm_conductor,cm_trace,cm_order,cm_lpf,measurement_ms
60,935,1152921504606807493,1,3,216000,2,3600,10,1,1,1152921504817263376,117571,1152921504817263376,1,-3,1,1233881996,-210455882,1152921504817263376,117571,6.895900005474687
60,936,1152921504606807479,11,3,216000,2,3600,1,0,0,1152921504606807480,536412216239,,1,-23,3,249660002,-1782720768,1152921506389528248,117209,4.172899993136525
60,937,1152921504606807437,5,3,216000,2,3600,5,1,1,1152921506713657096,34549,1152921506713657096,1,-4,1,207888514,-2106849658,1152921506713657096,34549,1.6107000410556793
60,938,1152921504606807431,11,3,216000,2,3600,1,0,0,1152921504606807432,6862628003611949,,1,-1747,5,8045998,2120987644,1152921502485819788,66643,148.4295999398455
60,939,1152921504606807347,11,3,216000,2,3600,1,0,0,1152921504606807348,330181381,,1,-8,1,738442253,499309854,1152921504107497494,71963,2.573799923993647
60,940,1152921504606807307,7,3,216000,2,3600,7,0,0,1152921503658263767,6613135381,,1,-1992,8,40479453,-1160871430,1152921505767678738,117427,68.48939997144043
60,941,1152921504606807263,11,3,216000,2,3600,1,0,0,1152921504606807264,229699,,1,-59,3,278607463,178832409,1152921504427974855,210527,4.215399967506528
60,942,1152921504606807251,11,3,216000,2,3600,1,0,0,1152921504606807252,237362813,,1,-8,1,719183881,-688391154,1152921505295198406,1889,1.3627000153064728
60,943,1152921504606807121,1,3,216000,2,3600,10,0,0,1152921502553285732,4959397,,1,-280,4,898152,-2147431058,1152921506754238180,206917,80.85989998653531
60,944,1152921504606807097,1,3,216000,2,3600,10,0,0,1152921505045710439,3137551,,1,-84,4,221054191,-712060228,1152921505318867326,24767,29.979299986734986
60,945,1152921504606807073,1,3,216000,2,3600,10,0,0,1152921502604708930,1391941,,1,-267,2,112397499,-1112934055,1152921505719741129,52181,37.43279993068427
60,946,1152921504606807053,5,3,216000,2,3600,5,1,1,1152921504606807054,52541,1152921504606807054,1,-283,3,25678484,-2103587458,1152921506710394512,125863,10.575799969956279
60,947,1152921504606806933,5,3,216000,2,3600,5,0,0,1152921504606806934,6277213,,1,-2963,13,37606171,-649107093,1152921505255914027,3889,153.94410002045333
60,948,1152921504606806929,1,3,216000,2,3600,10,0,0,1152921503063615232,2842291,,1,-2563,6,19929952,-1895693742,1152921506502500672,12197,293.22750004939735
60,949,1152921504606806873,5,3,216000,2,3600,5,0,0,1152921506740604068,2427001,,1,-616,8,39102614,1915675634,1152921502691131240,77689,51.13370006438345
60,950,1152921504606806867,11,3,216000,2,3600,1,0,0,1152921504606806868,7796542404493,,1,-179,5,26025601,-2119066683,1152921506725873551,26951,16.450900002382696
60,951,1152921504606806827,7,3,216000,2,3600,7,0,0,1152921506754039052,628088047,,1,-7,1,788728062,506993420,1152921504099813408,145037,11.750899953767657
60,952,1152921504606806807,11,3,216000,2,3600,1,0,0,1152921504606806808,4010499781,,1,-2279,56,36347666,1265218848,1152921503341587960,100501,62.26379994768649
60,953,1152921504606806801,5,3,216000,2,3600,5,0,0,1152921503924775952,18362297,,1,-836,20,34751233,-1897917840,1152921506504724642,38891,84.34879989363253
60,954,1152921504606806777,5,3,216000,2,3600,5,0,0,1152921504132348116,31484801,,1,-376,8,110265212,200302858,1152921504406503920,91753,24.35010008048266
60,955,1152921504606806743,7,3,216000,2,3600,7,1,1,1152921505838852172,184477,1152921505838852172,1,-3,1,1015504814,-1232045428,1152921505838852172,184477,7.2731999680399895
60,956,1152921504606806731,7,3,216000,2,3600,7,0,0,1152921504606806732,42005189,,1,-264,8,6681029,-2144738230,1152921506751544962,201973,17.755799926817417
60,957,1152921504606806729,5,3,216000,2,3600,5,1,1,1152921503193448976,111109,1152921503193448976,1,-4,1,808409840,1413357754,1152921503193448976,111109,2.4584000930190086
