bits,smoothness_exponent,discriminant_bound,prime_mod_12,primes,explicit_successes,explicit_rate,explicit_wilson_95_low,explicit_wilson_95_high,bounded_cm_successes,bounded_cm_rate,bounded_cm_wilson_95_low,bounded_cm_wilson_95_high
44,2,85184,1,30,1,0.03333333333333333,0.005908590381612455,0.16670390991409173,30,1.0,0.8864866068260312,0.9999999999999999
44,2,85184,5,28,1,0.03571428571428571,0.0063325198490377516,0.1771219774335332,26,0.9285714285714286,0.7735463743160095,0.9801879358846942
44,2,85184,7,31,0,0.0,0.0,0.11025539546043596,31,1.0,0.889744604539564,1.0
44,2,85184,11,39,0,0.0,-6.938893903907228e-18,0.08966685370757144,33,0.8461538461538461,0.7027053635107331,0.927525276230179
44,3,85184,1,30,24,0.8,0.6269430358685175,0.9049489282271013,30,1.0,0.8864866068260312,0.9999999999999999
44,3,85184,5,28,11,0.39285714285714285,0.2356568654157959,0.5759095570340281,28,1.0,0.8793566952341543,0.9999999999999998
44,3,85184,7,31,12,0.3870967741935484,0.23733101420380254,0.5617589138033927,31,1.0,0.889744604539564,1.0
44,3,85184,11,39,5,0.1282051282051282,0.056028175369713926,0.26705743379745456,39,1.0,0.9103331462924287,1.0
48,2,110592,1,33,2,0.06060606060606061,0.016780883087191875,0.1960624480864781,32,0.9696969696969697,0.846812746178811,0.9946305894631283
48,2,110592,5,33,0,0.0,0.0,0.10426999754245206,25,0.7575757575757576,0.5897538017044264,0.8716828662282499
48,2,110592,7,34,3,0.08823529411764706,0.030465943674648555,0.22960486562808868,33,0.9705882352941176,0.8508442670731406,0.9947890937237309
48,2,110592,11,28,0,0.0,1.3877787807814457e-17,0.12064330476584563,17,0.6071428571428571,0.42409044296597176,0.764343134584204
48,3,110592,1,33,16,0.48484848484848486,0.32504042108133696,0.6478162455108585,33,1.0,0.895730002457548,1.0
48,3,110592,5,33,11,0.3333333333333333,0.19750227679220683,0.5039210557219438,33,1.0,0.895730002457548,1.0
48,3,110592,7,34,12,0.35294117647058826,0.21487920594879492,0.5208603688021826,34,1.0,0.8984854458466761,0.9999999999999999
48,3,110592,11,28,3,0.10714285714285714,0.03711836682929999,0.27195851548672156,28,1.0,0.8793566952341543,0.9999999999999998
52,2,140608,1,29,0,0.0,0.0,0.11696979849974075,23,0.7931034482758621,0.6160990959613211,0.9015392980215897
52,2,140608,5,30,1,0.03333333333333333,0.005908590381612455,0.16670390991409173,23,0.7666666666666667,0.5907167384187784,0.8820761185551049
52,2,140608,7,30,0,0.0,0.0,0.11351339317396876,20,0.6666666666666666,0.4878005164454384,0.8076950191632386
52,2,140608,11,39,0,0.0,-6.938893903907228e-18,0.08966685370757144,17,0.4358974358974359,0.2930475387568963,0.5902430835133052
52,3,140608,1,29,12,0.41379310344827586,0.255131773413224,0.5926216401212141,29,1.0,0.8830302015002593,1.0
52,3,140608,5,30,6,0.2,0.0950510717728987,0.3730569641314825,30,1.0,0.8864866068260312,0.9999999999999999
52,3,140608,7,30,14,0.4666666666666667,0.30232388907699753,0.638577003801267,30,1.0,0.8864866068260312,0.9999999999999999
52,3,140608,11,39,2,0.05128205128205128,0.014177955415274113,0.16885640047613612,39,1.0,0.9103331462924287,1.0
56,2,175616,1,39,0,0.0,-6.938893903907228e-18,0.08966685370757144,26,0.6666666666666666,0.5097739439934599,0.7936704381040163
56,2,175616,5,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,7,0.2916666666666667,0.14914648196960875,0.49167693664496637
56,2,175616,7,41,0,0.0,-6.938893903907228e-18,0.08566757018443186,17,0.4146341463414634,0.27756549454252133,0.5663289686596986
56,2,175616,11,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,10,0.4166666666666667,0.24467602609811764,0.6116533413477124
56,3,175616,1,39,10,0.2564102564102564,0.14568780540992585,0.4108165592168397,39,1.0,0.9103331462924287,1.0
56,3,175616,5,24,7,0.2916666666666667,0.14914648196960875,0.49167693664496637,24,1.0,0.8620237953250198,1.0
56,3,175616,7,41,5,0.12195121951219512,0.053233364685777176,0.25544211520976884,41,1.0,0.9143324298155681,0.9999999999999999
56,3,175616,11,24,2,0.08333333333333333,0.023158815297043306,0.25848802193210685,24,1.0,0.8620237953250198,1.0
60,2,216000,1,31,0,0.0,0.0,0.11025539546043596,19,0.6129032258064516,0.4382410861966073,0.7626689857961975
60,2,216000,5,27,1,0.037037037037037035,0.006568145980785103,0.18283465933575843,4,0.14814814814814814,0.05915927776244326,0.3247868542781298
60,2,216000,7,37,1,0.02702702702702703,0.004786974451940429,0.13824069863730518,9,0.24324324324324326,0.13361352989116398,0.40117292121442655
60,2,216000,11,33,0,0.0,0.0,0.10426999754245206,10,0.30303030303030304,0.17375531424053606,0.47338135145800575
60,3,216000,1,31,3,0.0967741935483871,0.03346464416319736,0.24899938443392836,31,1.0,0.889744604539564,1.0
60,3,216000,5,27,4,0.14814814814814814,0.05915927776244326,0.3247868542781298,27,1.0,0.8754449702581328,0.9999999999999998
60,3,216000,7,37,4,0.10810810810810811,0.04285189940411473,0.24708531544126028,37,1.0,0.9059421741627975,1.0
60,3,216000,11,33,4,0.12121212121212122,0.04816161309413558,0.2732550517107523,33,1.0,0.895730002457548,1.0
