candidate_id,a0,a1,b0,b1,norm_f,factorization_f,largest_prime_f,norm_g,factorization_g,largest_prime_g,baseline_f,baseline_factorization_f,baseline_largest_prime_f,baseline_g,baseline_factorization_g,baseline_largest_prime_g,actual_f_B7,actual_g_B7,actual_joint_B7,baseline_f_B7,baseline_g_B7,baseline_joint_B7,actual_f_B13,actual_g_B13,actual_joint_B13,baseline_f_B13,baseline_g_B13,baseline_joint_B13
97,-2,2,2,1,648,2^3*3^4,3,3888,2^4*3^5,3,791,7^1*113^1,113,2428,2^2*607^1,607,1,1,1,0,0,0,1,1,1,0,0,0
98,-1,-2,-2,-2,9809,17^1*577^1,577,13729,13729^1,13729,16118,2^1*8059^1,8059,12680,2^3*5^1*317^1,317,0,0,0,0,0,0,0,0,0,0,0,0
99,-1,-2,-2,-1,1809,3^3*67^1,67,3969,3^4*7^2,7,1838,2^1*919^1,919,2472,2^3*3^1*103^1,103,0,1,0,0,0,0,0,1,0,0,0,0
100,-1,-2,-2,0,129,3^1*43^1,43,2609,2609^1,2609,177,3^1*59^1,59,2161,2161^1,2161,0,0,0,0,0,0,0,0,0,0,0,0
101,-1,-2,-2,1,881,881^1,881,1921,17^1*113^1,113,586,2^1*293^1,293,1096,2^3*137^1,137,0,0,0,0,0,0,0,0,0,0,0,0
102,-1,-2,-2,2,3537,3^3*131^1,131,27297,3^4*337^1,337,2959,11^1*269^1,269,19157,19157^1,19157,0,0,0,0,0,0,0,0,0,0,0,0
103,-1,-2,-1,-2,6561,3^8,3,2916,2^2*3^6,3,6953,17^1*409^1,409,2897,2897^1,2897,1,1,1,0,0,0,1,1,1,0,0,0
104,-1,-2,-1,-1,1531,1531^1,1531,536,2^3*67^1,67,1537,29^1*53^1,53,545,5^1*109^1,109,0,0,0,0,0,0,0,0,0,0,0,0
105,-1,-2,-1,0,569,569^1,569,804,2^2*3^1*67^1,67,878,2^1*439^1,439,690,2^1*3^1*5^1*23^1,23,0,0,0,0,0,0,0,0,0,0,0,0
106,-1,-2,-1,1,891,3^4*11^1,11,216,2^3*3^3,3,681,3^1*227^1,227,173,173^1,173,0,1,0,0,0,0,1,1,1,0,0,0
107,-1,-2,-1,2,2017,2017^1,2017,15332,2^2*3833^1,3833,1400,2^3*5^2*7^1,7,15606,2^1*3^3*17^2,17,0,0,0,1,0,0,0,0,0,1,0,0
108,-1,-2,0,-2,4489,67^2,67,3849,3^1*1283^1,1283,5833,19^1*307^1,307,3192,2^3*3^1*7^1*19^1,19,0,0,0,0,0,0,0,0,0,0,0,0
109,-1,-2,0,-1,1137,3^1*379^1,379,697,17^1*41^1,41,1911,3^1*7^2*13^1,13,893,19^1*47^1,47,0,0,0,0,0,0,0,0,0,1,0,0
110,-1,-2,0,0,729,3^6,3,729,3^6,3,673,673^1,673,700,2^2*5^2*7^1,7,1,1,1,0,1,0,1,1,1,0,1,0
111,-1,-2,0,1,913,11^1*83^1,83,1593,3^3*59^1,59,598,2^1*13^1*23^1,23,1558,2^1*19^1*41^1,41,0,0,0,0,0,0,0,0,0,0,0,0
112,-1,-2,0,2,1161,3^3*43^1,43,17161,131^2,131,1064,2^3*7^1*19^1,19,29622,2^1*3^1*4937^1,4937,0,0,0,0,0,0,0,0,0,0,0,0
113,-1,-2,1,-2,2969,2969^1,2969,11524,2^2*43^1*67^1,67,2188,2^2*547^1,547,13489,7^1*41^1*47^1,47,0,0,0,0,0,0,0,0,0,0,0,0
114,-1,-2,1,-1,459,3^3*17^1,17,1944,2^3*3^5,3,444,2^2*3^1*37^1,37,1084,2^2*271^1,271,0,1,0,0,0,0,0,1,0,0,0,0
115,-1,-2,1,0,657,3^2*73^1,73,452,2^2*113^1,113,868,2^2*7^1*31^1,31,410,2^1*5^1*41^1,41,0,0,0,0,0,0,0,0,0,0,0,0
116,-1,-2,1,1,971,971^1,971,2776,2^3*347^1,347,872,2^3*109^1,109,3940,2^2*5^1*197^1,197,0,0,0,0,0,0,0,0,0,0,0,0
117,-1,-2,1,2,729,3^6,3,26244,2^2*3^8,3,751,751^1,751,25107,3^1*8369^1,8369,1,1,1,0,0,0,1,1,1,0,0,0
118,-1,-2,2,-2,2673,3^5*11^1,11,30753,3^3*17^1*67^1,67,3649,41^1*89^1,89,29688,2^3*3^1*1237^1,1237,0,0,0,0,0,0,1,0,0,0,0,0
