q,n,m,target_mode,status,modulus,curve_a_coordinates,curve_b_coordinates,target_coordinates,known_solution,known_solution_verified,core_equation_count,core_degrees,core_term_counts,first_fall_degree,first_fall_status,degree_of_regularity,regularity_status,solving_degree,solving_status,solving_minus_first_fall,gb_size,gb_max_degree,max_macaulay_columns,max_macaulay_rank,order,engine,engine_version,field_equations_in_solving_system,function_reduction,degree_ceiling,column_ceiling,row_ceiling,elapsed_seconds,case_timeout_seconds,python_version,platform
7,2,2,known,complete,1;0;1,0;1,1;0,3;2,0;2,True,2,4;3,7;8,5,"exact: kernel dimension 1, trivial rank 0",7,exact: homogeneous rank fills 8 columns,7,exact: Gröbner basis contained at cutoff 7,2,2,2,36,34,grevlex(x1>...>xm),exact closed Macaulay + SymPy groebner target,1.14.0,True,x_i^q=x_i applied to core during construction,20,12000,50000,0.141974,45.0,3.13.4,Windows-11-10.0.26200-SP0
7,2,2,external,complete,1;0;1,0;1,1;0,0;1,,,2,4;3,7;4,5,"exact: kernel dimension 1, trivial rank 0",7,exact: homogeneous rank fills 8 columns,7,exact: Gröbner basis contained at cutoff 7,2,1,0,36,36,grevlex(x1>...>xm),exact closed Macaulay + SymPy groebner target,1.14.0,True,x_i^q=x_i applied to core during construction,20,12000,50000,0.160365,45.0,3.13.4,Windows-11-10.0.26200-SP0
7,3,2,known,complete,1;0;1;1,0;1;0,1;0;0,6;4;1,0;3,True,3,4;3;3,9;8;5,3,"exact: kernel dimension 1, trivial rank 0",7,exact: homogeneous rank fills 8 columns,4,exact: Gröbner basis contained at cutoff 4,1,2,2,15,13,grevlex(x1>...>xm),exact closed Macaulay + SymPy groebner target,1.14.0,True,x_i^q=x_i applied to core during construction,20,12000,50000,0.032368,45.0,3.13.4,Windows-11-10.0.26200-SP0
7,3,2,external,complete,1;0;1;1,0;1;0,1;0;0,0;0;2,,,3,4;2;3,4;3;7,4,"exact: kernel dimension 1, trivial rank 0",4,exact: homogeneous rank fills 5 columns,7,exact: Gröbner basis contained at cutoff 7,3,2,1,36,35,grevlex(x1>...>xm),exact closed Macaulay + SymPy groebner target,1.14.0,True,x_i^q=x_i applied to core during construction,20,12000,50000,0.073338,45.0,3.13.4,Windows-11-10.0.26200-SP0
