q,n,m,target_mode,status,modulus,curve_a_coordinates,curve_b_coordinates,target_coordinates,known_solution,known_solution_verified,core_equation_count,core_degrees,core_term_counts,first_fall_degree,first_fall_status,degree_of_regularity,regularity_status,solving_degree,solving_status,solving_minus_first_fall,gb_size,gb_max_degree,max_macaulay_columns,max_macaulay_rank,order,engine,engine_version,field_equations_in_solving_system,function_reduction,degree_ceiling,column_ceiling,row_ceiling,elapsed_seconds,case_timeout_seconds,python_version,platform
3,2,4,known,complete,1;0;1,0;1,1;0,1;2,0;0;0;2,True,2,8;8,32;43,8,"exact: kernel dimension 1, trivial rank 0",8,exact: homogeneous rank fills 165 columns,8,exact: Gröbner basis contained at cutoff 8,0,7,3,495,486,grevlex(x1>...>xm),exact closed Macaulay + SymPy groebner target,1.14.0,True,x_i^q=x_i applied to core during construction,16,12000,50000,6.981388,60.0,3.13.4,Windows-11-10.0.26200-SP0
3,2,4,external,complete,1;0;1,0;1,1;0,0;1,,,2,8;8,50;67,8,"exact: kernel dimension 1, trivial rank 0",8,exact: homogeneous rank fills 165 columns,8,exact: Gröbner basis contained at cutoff 8,0,7,3,495,485,grevlex(x1>...>xm),exact closed Macaulay + SymPy groebner target,1.14.0,True,x_i^q=x_i applied to core during construction,16,12000,50000,7.473826,60.0,3.13.4,Windows-11-10.0.26200-SP0
3,3,4,known,complete,1;0;2;1,0;1;0,1;0;0,0;0;1,0;0;0;2,True,3,8;8;8,36;71;41,8,"exact: kernel dimension 2, trivial rank 0",8,exact: homogeneous rank fills 165 columns,8,exact: Gröbner basis contained at cutoff 8,0,18,3,495,478,grevlex(x1>...>xm),exact closed Macaulay + SymPy groebner target,1.14.0,True,x_i^q=x_i applied to core during construction,16,12000,50000,5.684647,60.0,3.13.4,Windows-11-10.0.26200-SP0
3,3,4,external,complete,1;0;2;1,0;1;0,1;0;0,0;0;1,,,3,8;8;8,36;71;41,8,"exact: kernel dimension 2, trivial rank 0",8,exact: homogeneous rank fills 165 columns,8,exact: Gröbner basis contained at cutoff 8,0,18,3,495,478,grevlex(x1>...>xm),exact closed Macaulay + SymPy groebner target,1.14.0,True,x_i^q=x_i applied to core during construction,16,12000,50000,5.401647,60.0,3.13.4,Windows-11-10.0.26200-SP0
