q,n,m,target_mode,status,stage_completed,first_fall_degree,degree_of_regularity,solving_degree,solving_minus_first_fall,known_solution_verified,case_timeout_seconds,column_ceiling,core_degrees,core_equation_count,core_term_counts,curve_a_coordinates,curve_b_coordinates,degree_ceiling,elapsed_seconds,engine,engine_version,field_equations_in_solving_system,first_fall_status,function_reduction,gb_max_degree,gb_size,known_solution,max_macaulay_columns,max_macaulay_rank,modulus,order,platform,python_version,regularity_status,row_ceiling,solving_status,source_file,target_coordinates
3,3,4,known,complete,solving_degree,8,8,8,0,True,60.0,12000,8;8;8,3,36;71;41,0;1;0,1;0;0,16,5.684647,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 2, trivial rank 0",x_i^q=x_i applied to core during construction,3,18,0;0;0;2,495,478,1;0;2;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 165 columns,50000,exact: Gröbner basis contained at cutoff 8,measure_weil_degrees_q3_m4_20260701.csv,0;0;1
5,2,2,external,complete,solving_degree,5,5,5,0,,45.0,12000,4;3,2,7;8,0;1,1;0,20,0.032661,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,0,1,,21,21,1;1;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 6 columns,50000,exact: Gröbner basis contained at cutoff 5,measure_weil_degrees_q5_20260701.csv,0;3
5,2,2,known,complete,solving_degree,5,5,5,0,True,45.0,12000,4;3,2,9;6,0;1,1;0,20,0.030565,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,3,3,0;3,21,17,1;1;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 6 columns,50000,exact: Gröbner basis contained at cutoff 5,measure_weil_degrees_q5_20260701.csv,2;4
5,2,3,external,complete,solving_degree,12,12,12,0,,60.0,12000,12;11,2,115;106,0;1,1;0,20,5.753534,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 3, trivial rank 0",x_i^q=x_i applied to core during construction,2,4,,455,452,1;1;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 91 columns,50000,exact: Gröbner basis contained at cutoff 12,measure_weil_degrees_q5_m3_20260701.csv,0;3
5,2,3,known,complete,solving_degree,12,12,12,0,True,60.0,12000,12;11,2,77;66,0;1,1;0,20,11.013877,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 3, trivial rank 0",x_i^q=x_i applied to core during construction,3,6,0;3;4,455,446,1;1;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 91 columns,50000,exact: Gröbner basis contained at cutoff 12,measure_weil_degrees_q5_m3_20260701.csv,1;1
5,2,4,known,censored: wall clock exceeded 60s,degree_of_regularity,16,16,,,True,60.0,12000,16;15,2,499;525,0;1,1;0,22,,exact closed Macaulay + SymPy groebner target,1.14.0,,"exact: kernel dimension 4, trivial rank 0",,,,0;0;3;4,,,1;1;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 969 columns,60000,,measure_weil_degrees_q5_m4_profile_20260701.csv,3;3
5,3,2,external,complete,solving_degree,4,4,5,1,,45.0,12000,4;2;3,3,6;2;7,0;1;0,1;0;0,20,0.034425,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,1,2,,21,20,1;0;1;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 5 columns,50000,exact: Gröbner basis contained at cutoff 5,measure_weil_degrees_q5_20260701.csv,0;0;4
5,3,2,known,complete,solving_degree,3,5,4,1,True,45.0,12000,4;3;3,3,9;7;8,0;1;0,1;0;0,20,0.027554,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,2,2,0;2,15,13,1;0;1;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 6 columns,50000,exact: Gröbner basis contained at cutoff 4,measure_weil_degrees_q5_20260701.csv,2;2;3
5,3,3,external,complete,solving_degree,11,11,12,1,,60.0,12000,12;10;11,3,82;92;97,0;1;0,1;0;0,20,16.587729,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,0,1,,455,455,1;0;1;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 78 columns,50000,exact: Gröbner basis contained at cutoff 12,measure_weil_degrees_q5_m3_20260701.csv,0;0;4
5,3,3,known,complete,solving_degree,11,12,12,1,True,60.0,12000,12;11;11,3,95;112;94,0;1;0,1;0;0,20,11.98135,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,3,3,0;2;4,455,449,1;0;1;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 91 columns,50000,exact: Gröbner basis contained at cutoff 12,measure_weil_degrees_q5_m3_20260701.csv,3;2;3
5,3,4,known,censored: wall clock exceeded 60s,degree_of_regularity,16,16,,,True,60.0,12000,16;16;16,3,487;501;456,0;1;0,1;0;0,22,,exact closed Macaulay + SymPy groebner target,1.14.0,,"exact: kernel dimension 2, trivial rank 0",,,,0;0;2;4,,,1;0;1;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 969 columns,60000,,measure_weil_degrees_q5_m4_profile_20260701.csv,2;3;3
7,2,2,external,complete,solving_degree,5,7,7,2,,45.0,12000,4;3,2,7;4,0;1,1;0,20,0.160365,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,0,1,,36,36,1;0;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 8 columns,50000,exact: Gröbner basis contained at cutoff 7,measure_weil_degrees_q7_20260701.csv,0;1
7,2,2,known,complete,solving_degree,5,7,7,2,True,45.0,12000,4;3,2,7;8,0;1,1;0,20,0.141974,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,2,2,0;2,36,34,1;0;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 8 columns,50000,exact: Gröbner basis contained at cutoff 7,measure_weil_degrees_q7_20260701.csv,3;2
7,3,2,external,complete,solving_degree,4,4,7,3,,45.0,12000,4;2;3,3,4;3;7,0;1;0,1;0;0,20,0.073338,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,1,2,,36,35,1;0;1;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 5 columns,50000,exact: Gröbner basis contained at cutoff 7,measure_weil_degrees_q7_20260701.csv,0;0;2
7,3,2,known,complete,solving_degree,3,7,4,1,True,45.0,12000,4;3;3,3,9;8;5,0;1;0,1;0;0,20,0.032368,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,2,2,0;3,15,13,1;0;1;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 8 columns,50000,exact: Gröbner basis contained at cutoff 4,measure_weil_degrees_q7_20260701.csv,6;4;1
11,2,2,known,complete,solving_degree,5,11,11,6,True,60.0,20000,4;3,2,6;8,0;1,1;0,24,3.741544,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,2,2,0;1,78,76,1;0;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 12 columns,80000,exact: Gröbner basis contained at cutoff 11,measure_weil_degrees_growth_20260701.csv,3;3
11,3,2,known,complete,solving_degree,3,11,4,1,True,60.0,20000,4;3;3,3,9;8;5,0;1;0,1;0;0,24,0.05117,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,2,2,0;6,15,13,1;0;4;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 12 columns,80000,exact: Gröbner basis contained at cutoff 4,measure_weil_degrees_growth_20260701.csv,1;1;9
13,2,2,known,complete,solving_degree,5,13,13,8,True,60.0,20000,4;3,2,7;8,0;1,1;0,24,15.212144,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,2,2,0;1,105,103,1;3;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 14 columns,80000,exact: Gröbner basis contained at cutoff 13,measure_weil_degrees_growth_20260701.csv,12;2
13,3,2,known,complete,solving_degree,3,13,4,1,True,60.0,20000,4;3;3,3,9;7;5,0;1;0,1;0;0,24,0.074086,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,2,2,0;1,15,13,1;0;4;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 14 columns,80000,exact: Gröbner basis contained at cutoff 4,measure_weil_degrees_growth_20260701.csv,3;8;7
17,2,2,known,complete,solving_degree,5,17,17,12,True,120.0,20000,4;3,2,5;8,0;1,1;0,24,3.556916,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,2,2,0;2,171,169,1;1;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 18 columns,80000,exact: Gröbner basis contained at cutoff 17,measure_weil_degrees_q17_20260701.csv,0;2
17,3,2,known,complete,solving_degree,3,17,4,1,True,60.0,20000,4;3;3,3,9;8;8,0;1;0,1;0;0,24,0.19048,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,2,2,0;8,15,13,1;0;3;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 18 columns,80000,exact: Gröbner basis contained at cutoff 4,measure_weil_degrees_growth_20260701.csv,11;11;5
19,2,2,known,complete,solving_degree,5,19,19,14,True,90.0,200000,4;3,2,9;8,0;1,1;0,30,7.407769,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,2,2,0;1,210,208,1;0;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 20 columns,400000,exact: Gröbner basis contained at cutoff 19,measure_weil_degrees_q19_q23_20260701.csv,11;16
23,2,2,known,complete,solving_degree,5,23,23,18,True,90.0,200000,4;3,2,9;8,0;1,1;0,30,26.25098,exact closed Macaulay + SymPy groebner target,1.14.0,True,"exact: kernel dimension 1, trivial rank 0",x_i^q=x_i applied to core during construction,3,3,0;2,300,296,1;0;1,grevlex(x1>...>xm),Windows-11-10.0.26200-SP0,3.13.4,exact: homogeneous rank fills 24 columns,400000,exact: Gröbner basis contained at cutoff 23,measure_weil_degrees_q19_q23_20260701.csv,8;22
