bits,discriminant,p,subgroup_order,subgroup_bits,automorphism_order,trials,mean_baseline_transitions,mean_quotient_transitions,median_baseline_transitions,median_quotient_transitions,speedup_ratio_of_means,speedup_ci95_low,speedup_ci95_high,sqrt_orbit_order,mean_baseline_restarts,mean_quotient_restarts
9,-4,457,233,8,4,4,55.500000,21.000000,60.000000,19.500000,2.642857143,1.020131846,5.410000000,2.000000000,1.000000,1.000000
9,-3,457,139,8,6,4,35.250000,15.000000,19.500000,15.000000,2.350000000,0.900461538,6.130769231,2.449489743,1.000000,1.500000
10,-4,1021,29,5,4,4,12.750000,6.750000,13.500000,7.500000,1.888888889,1.000000000,2.841666667,2.000000000,1.000000,1.000000
10,-3,1021,37,6,6,4,15.000000,5.250000,15.000000,4.500000,2.857142857,2.200000000,4.631250000,2.449489743,1.000000,1.000000
